article,pub_date,nltk_score,source
CONCERNED AMERICAN VOTERS

$37.3K



REPUBLICAN PARTY OF TEXAS

$37.3K



AMERICAN FEDERATION OF TEACHERS, AFL-CIO COMMITTEE ON POLITICAL EDUCATION

$36.8K



PLANNED PARENTHOOD OF SAN DIEGO AND RIVERSIDE COUNTIES ACTION FUND

$36.6K



MAIN STREET ADVOCACY

$36.6K



PROTECTING OUR VOTE PAC

$34.3K



AMERICAN JOBS AND GROWTH ALLIANCE

$34.3K



PROPER ROLE OF GOVERNMENT ACTION FUND

$34K



WEST VIRGINIANS FOR LIFE INC POLITICAL ACTION COMMITTEE

$33.9K



KUCINICH ACTION PAC

$33.3K



CITIZEN ACTION OF NEW YORK INC

$33.2K



DIRECT SELLING ASSOCIATION

$33K



PROGRESSIVE COLORADO VOTERS

$32.9K



FREEDOM BORN INC

$32.8K



BLUE AMERICA PAC INDEPENDENT EXPENDITURE COMMITTEE

$32.3K



GOVERNMENT IS NOT GOD

$31.6K



CONSERVATIVES FOR FREEDOM PAC

$31.5K



NEW JERSEY FOR THE PEOPLE

$31.5K



COMMON SENSE ISSUES INC

$31.3K



AMERICAN NURSES ASSOCIATION PAC

$30.6K



GEORGIA FREEDOM PAC INC

$30.2K



SEIU DISTRICT 1199 PCE

$30.2K



VERMONT DEMOCRATIC PARTY

$29.6K



BRIGHTER FUTURE FUND

$29.6K



PACPLUS

$28.7K



LOCAL UNION NO. 469 OF THE UNITED ASSOCIATION OF JOURNEYMEN AND APPRENTICES OF THE PLUMBIN

$28.5K



TEST PAC

$28.4K



DECLARATION ALLIANCE PAC

$28K



INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES POLITICAL ACTION TOGETHER POLITICAL COMM

$27.7K



ROCK THE RED POLITICAL ACTION COMMITTEE INC (ROCK THE RED)

$27.7K



RIGHT TO LIFE/OREGON PAC

$27.4K



PLANNED PARENTHOOD ADVOCATES OF OHIO

$26.7K



TEXAS AMERICA 21ST CENTURY PAC

$26.6K



BRIGHTER FUTURE COMMITTEE

$25.9K



MIDDLE RESOLUTION FEDERAL PAC INC

$25.6K



MISSOURI FARM BUREAU FEDERATION STATEWIDE FARM PAC

$25.3K



SUBURBAN VOTERS FOR CHOICE

$25.3K



CITIZENS FOR CONSERVATIVE LEADERSHIP, INC.

$25.2K



VOTO LATINO ACTION FUND

$25K



DEGEORGE, LAWRENCE F.

$25K



PLANNED PARENTHOOD ADVOCATES OF MONTANA

$24.8K



AMERICAN ASSOCIATION OF NEUROLOGICAL SURGEONS POLITICAL ACTION COMMITTEE (NEUROSURGERYPAC)

$24.5K



COMMUNICATIONS WORKERS OF AMERICA-COPE POLITICAL CONTRIBUTIONS COMMITTEE

$24.4K



AMERICAN CONSERVANCY PAC

$24.1K



ALEXANDRIA DEMOCRATIC COMMITTEE

$23.6K



80-20 NATIONAL ASIAN AMERICAN PAC

$23.3K



PUBLIC ADVOCATE OF THE UNITED STATES

$23K



USACTION

$22.6K



KEEP CONSERVATIVES UNITED

$22.4K



EAGLE FORUM PAC

$22.4K



FLORIDA ALLIANCE OF PLANNED PARENTHOOD AFFILIATES

$22.3K



DEMOCRATIC FOUNDATION OF ORANGE COUNTY

$21.8K



J STREET

$21.6K



COLORADO FUTURE FUND

$21.5K



AMERICAN FEDERATION OF TEACHERS GUILD, LOCAL 1931 SAN DIEGO AND GROSSMONT - CUYAMACA COMMUNITY COLLEGES FEDERAL COMMITTEE ON POLITICAL EDUCATION

$20.8K



WE ARE WISCONSIN POLITICAL FUND

$20.5K



CALIFORNIA NURSES ASSOCIATION POLITICAL ACTION COMMITTEE (CNA PAC)

$20.5K



LANTERN PROJECT, THE

$20.4K



AMERICAN PRINCIPLES IN ACTION

$20.2K



USACTION FUND FOR A TRUE MAJORITY

$20.1K



TENNESSEE DEMOCRATIC PARTY

$20.1K



REPUBLICAN PARTY OF MINNESOTA

$20.1K



PRESIDENTDOWNGRADE.COM

$20K



SPECIAL OPERATIONS SPEAKS PAC

